text,label
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
I need to pay my invoice,0
When is the payment due,0
My bill is outstanding,0
What is the VPD today,0
The temperature is high,0
Contamination detected,0
Please send me the receipt,1
I want to transfer money,1
Thank you for your help,1
The mycelium is growing,1
Sensor data shows normal,1
Check the pH level,1
